Masculine,Feminine,Neuter,Declensions
abdōminālis,abdōminālis,abdōmināle,III
ācer,ācris,ācre,III
acūtus,acūta,acūtum,I-II
aequus,aequa,aequum,I-II
aestīvus,aestīva,aestīvum,I-II
aeternus,aeterna,aeternum,I-II
Āfricānus,Āfricāna,Āfricānum,I-II
ālātus,ālāta,ālātum,I-II
albus,alba,album,I-II
aliēnus,aliēna,aliēnum,I-II
alius,alia,aliud,Pron
alter,altera,alterum,Pron
altus,alta,altum,I-II
amātōrius,amātōria,amātōrium,I-II
ambō,ambae,ambō,Other
amīcus,amīca,amīcum,I-II
anātīnus,anātīna,anātīnum,I-II
angustus,angata,angumtum,I-II
annuālis,annuālis,annuāle,III
antīquus,antīqua,antīquum,I-II
aprīlis,aprīlis,aprīle,III
artēriōsus,artēriōsa,artēriōsum,I-II
Āsiānus,Āsiāna,Āsiānum,I-II
asinīnus,asinīna,asinīnum,I-II
āter,ātra,ātrum,I-II
audāx,audāx,audāx,III
audībilis,audībilis,audībile,III
augustus,augata,augumtum,I-II
aurālis,aurālis,aurāle,III
austrālis,austrālis,austrāle,III
barbātus,barbāta,barbātum,I-II
bellicōsus,bellicōsa,bellicōsum,I-II
blandus,blanda,blandum,I-II
bonus,bona,bonum,I-II
boreālis,boreālis,boreāle,III
bracchiālis,bracchiālis,bracchiāle,III
brevis,brevis,breve,III
Britānnus,Britānna,Britānnum,I-II
caerūleus,caerūlea,caerūleum,I-II
calcārius,calcāria,calcārium,I-II
calidus,calida,calidum,I-II
callidus,callida,callidum,I-II
candidus,candida,candidum,I-II
capillāris,capillāris,capillāre,III
capitālis,capitālis,capitāle,III
capitīvus,capitīva,capitīvum,I-II
caprīnus,caprīna,caprīnum,I-II
cariōsus,cariōsa,cariōsum,I-II
carpālis,carpālis,carpāle,III
cārus,cāra,cārum,I-II
celer,celeris,celere,III
centum,,,Indecl
cerebrālis,cerebrālis,cerebrāle,III
citer,citra,citrum,I-II
clārus,clāra,clārum,I-II
clēmēns,clēmēns,clēmēns,III
collāris,collāris,collāre,III
commūnis,commūnis,commūne,III
cordiālis,cordiālis,cordiāle,III
corporālis,corporālis,corporāle,III
corvīnus,corvīna,corvīnum,I-II
crēdibilis,crēdibilis,crēdibile,III
Crēticus,Crētica,Crēticum,I-II
crīminalis,crīminalis,crīminale,III
crūdēlis,crūdēlis,crūdēle,III
crūrālis,crūrālis,crūrāle,III
cubitālis,cubitālis,cubitāle,III
Cyprius,Cypria,Cyprium,I-II
Dācus,Dāca,Dācum,I-II
datīvus,datīva,datīvum,I-II
decem,,,Indecl
december,decembris,decembre,III
decimus,decima,decimum,I-II
decorus,decora,decorum,I-II
dēmēns,dēmēns,dēmēns,III
dēnsus,dēnsa,dēnsum,I-II
dentālis,dentālis,dentāle,III
dexter,dextera,dexterum,I-II
diārius,diāria,diārium,I-II
difficilis,difficilis,difficile,III
digitālis,digitālis,digitāle,III
dissimilis,dissimilis,desimile,III
dīves,dīves,dīves,III
domesticus,domestica,domesticum,I-II
dorsālis,dorsālis,dorsāle,III
dulcis,dulcis,dulce,III
duo,duae,duo,Other
duodecimus,duodecima,duodecimum,I-II
dūrus,dūra,dūrum,I-II
edibilis,edibilis,edibile,III
elephantīnus,elephantīna,elephantīnum,I-II
equīnus,equīna,equīnum,I-II
Etruscus,Etraca,Etrumcum,I-II
Eurōpeus,Eurōpea,Eurōpeum,I-II
faciālis,faciālis,faciāle,III
facilis,facilis,facile,III
falsus,falsa,falsum,I-II
februārius,februāria,februārium,I-II
fēlīnus,fēlīna,fēlīnum,I-II
fēlīx,fēlīx,fēlīx,III
femorālis,femorālis,femorāle,III
fētōsus,fētōsa,fētōsum,I-II
fīdēlis,fīdēlis,fīdēle,III
fīdus,fīda,fīdum,I-II
flāvus,flāva,flāvum,I-II
fortis,fortis,forte,III
frigidus,frigida,frigidum,I-II
frūctuōsus,frūctuōsa,frūctuōsum,I-II
fugitīvus,fugitīva,fugitīvum,I-II
gallīnus,gallīna,gallīnum,I-II
Gallus,Galla,Gallum,I-II
gelidus,gelida,gelidum,I-II
Germānus,Germāna,Germānum,I-II
Graecus,Graeca,Graecum,I-II
grāmineus,grāminea,grāmineum,I-II
gravis,gravis,grave,III
grīseus,grīsea,grīseum,I-II
Helvētius,Helvētia,Helvētium,I-II
hic,haec,hoc,Pron
Hispānus,Hispāna,Hispānum,I-II
horribilis,horribilis,horribile,III
hostīlis,hostīlis,hostīle,III
humānus,humāna,humānum,I-II
humidus,humida,humidum,I-II
humilis,humilis,humile,III
iānuārius,iānuāria,iānuārium,I-II
idōneus,idōnea,idōneum,I-II
iecorālis,iecorālis,iecorāle,III
ille,illa,illud,Pron
Īllyrius,Īllyria,Īllyrium,I-II
imperātīvus,imperātīva,imperātīvum,I-II
īnfēlīx,īnfēlīx,īnfēlīx,III
īnferus,īnfera,īnferum,I-II
ingēns,ingēns,ingēns,III
inimīcus,inimīca,inimīcum,I-II
inīquus,inīqua,inīquum,I-II
integer,integra,integrum,I-II
iocōsus,iocōsa,iocōsum,I-II
ipse,ipsa,ipsum,Pron
īrātus,īrāta,īrātum,I-II
is,ea,id,Pron
iste,ista,istud,Pron
Ītālus,Ītāla,Ītālum,I-II
Iudaeus,Iudaea,Iudaeum,I-II
iūlius,iūlia,iūlium,I-II
iūnius,iūnia,iūnium,I-II
iuvenis,iuvenis,iuvene,III
laetus,laeta,laetum,I-II
largus,larga,largum,I-II
Latīnus,Latīna,Latīnum,I-II
lātus,lāta,lātum,I-II
laudātōrius,laudātōria,laudātōrium,I-II
leōnīnus,leōnīna,leōnīnum,I-II
levis,levis,leve,III
līber,lībera,līberum,I-II
līminālis,līminālis,līmināle,III
linguālis,linguālis,linguāle,III
liquidus,liquida,liquidum,I-II
lītorālis,lītorālis,lītorāle,III
locātīvus,locātīva,locātīvum,I-II
longinquus,longinqua,longinquum,I-II
longus,longa,longum,I-II
loquāx,loquāx,loquāx,III
lucidus,lucida,lucidum,I-II
Lusitānus,Laitāna,Lumitānum,I-II
magnus,magna,magnum,I-II
māius,māia,māium,I-II
malus,mala,malum,I-II
manuālis,manuālis,manuāle,III
Maurus,Maura,Maurum,I-II
medius,media,medium,I-II
mendāx,mendāx,mendāx,III
mēnstruus,mēnstrua,mēnstruum,I-II
mentālis,mentālis,mentāle,III
mentītus,mentīta,mentītum,I-II
meus,mea,meum,I-II
mille,,,Indecl
mīrus,mīra,mīrum,I-II
miser,misera,miserum,I-II
mollis,mollis,molle,III
mortuus,mortua,mortuum,I-II
mūlīnus,mūlīna,mūlīnum,I-II
multus,multa,multum,I-II
mūsculāris,mūsculāris,mūsculāre,III
narrātīvus,narrātīva,narrātīvum,I-II
nāsālis,nāsālis,nāsāle,III
nātālis,nātālis,nātāle,III
negātīvus,negātīva,negātīvum,I-II
neuter,neutra,neutrum,Pron
niger,nigra,nigrum,I-II
nōminātīvus,nōminātīva,nōminātīvum,I-II
nōnāgintā,,,Indecl
nōnus,nōna,nōnum,I-II
