FirstPart,SecondPart,ThirdPart,Supine,Conjugation,Deponency,Notes
absum,abesse,āfuī,āfutūrus,Irregular,,
accipiō,accipere,accēpī,acceptum,III-i,,
accūsō,accūsāre,accūsāvī,accūsātum,I,,
adōrō,adōrāre,adōrāvī,adōrātum,I,,
adsum,adesse,adfuī,adfutūrus,Irregular,,
adulor,adulārī,adulātus sum,,I,Deponent,
adveniō,advenīre,advēnī,adventum,IV,,
aedificō,aedificāre,aedificāvī,aedificātum,I,,
agō,agere,ēgī,actum,III,,
ambulō,ambulāre,ambulāvī,ambulātum,I,,
āmittō,āmittere,āmīsī,āmissum,III,,
amō,amāre,amāvī,amātum,I,,
aperiō,aperīre,aperuī,apertum,IV,,
apparō,apparāre,apparāvī,apparātum,I,,
appellō,appellāre,appellāvī,appellātum,I,,
appropinquō,appropinquāre,appropinquāvī,appropinquātum,I,,
arbitror,arbitrārī,arbitrātus sum,,I,Deponent,
arcuō,arcuāre,arcuāvī,arcuātum,I,,
ārdeō,ārdēre,ārsī,ārsum,II,,
audeō,audēre,ausus sum,,II,Semi-Deponent,
audiō,audīre,audīvī,audītum,IV,,
augeō,augēre,auxī,auctum,II,,
blandior,blandīrī,blandītus sum,,IV,Deponent,
cadō,cadere,cecidī,cāsum,III,,
caedō,caedere,cecīdī,caesum,III,,
capiō,capere,cēpī,captum,III-i,,
cēdō,cēdere,cessi,cessum,III,,
cēlō,cēlāre,cēlāvī,cēlātum,I,,
cēnō,cēnāre,cēnāvī,cēnātum,I,,
cēnseō,cēnsēre,cēnsī,cēnsum,II,,
clāmō,clāmāre,clāmāvī,clāmātum,I,,
clārō,clārāre,clārāvī,clārātum,I,,
coeō,coīre,coīvī,coītum,Irregular,,
cōgitō,cōgitāre,cōgitāvī,cōgitātum,I,,
cognōscō,cognoscere,cognōvī,cognitum,III,,
cōgō,cōgere,coēgī,coāctum,III,,
committō,committere,commīsī,commissum,III,,
conficiō,conficere,confēcī,confectum,III-i,,
coniciō,conicere,coniēcī,coniectum,III-i,,
cōnor,cōnārī,cōnātus sum,,I,Deponent,
conscribō,conscribere,conscrīpsī,conscrīptum,III,,
consentiō,consentīre,consēnsī,consēnsum,IV,,
constituō,constituere,constituī,constitūtum,III,,
conveniō,convenīre,convēnī,conventum,IV,,
coquō,coquere,coxī,coctum,III,,
crēdō,crēdere,crēdidī,crēditum,III,,
crēscō,crēscere,crēvī,crētum,III,,
cupiō,cupere,cupīvī,cupītum,III-i,,
cūrō,curāre,cūrāvī,cūrātum,I,,
curro,currere,cucurrī,cursum,III,,
custōdiō,custōdīre,custōdīvī,custōdītum,IV,,
damnō,damnāre,damnāvī,damnātum,I,,
dēbeō,dēbēre,dēbuī,dēbitum,II,,
decet,decēre,decuit,,II,,
dēcipiō,dēcipere,dēcēpī,dēceptum,III-i,,
dēclārō,dēclārāre,dēclārāvī,dēclārātum,I,,
dēficiō,dēficere,dēfēcī,dēfectum,III-i,,
dīcō,dīcere,dīxī,dīctum,III,,
disco,discere,didicī,discitum,III,,
dō,dare,dedī,datum,I,,
doceō,docēre,docuī,doctum,II,,
doleō,dolēre,doluī,dolitum,II,,
dōnō,donāre,dōnāvī,dōnātum,I,,
dormiō,dormīre,dormīvī,dormītum,IV,,
dūcō,dūcere,dūxī,ductum,III,,
edō,edere,ēdī,ēsum,III,,
eō,īre,īvī,ītum,Irregular,,
equitō,equitāre,equitāvī,equitātum,I,,
errō,errāre,errāvī,errātum,I,,
ēsuriō,ēsurīre,ēsurīvī,ēsurītum,IV,,
exerceō,exercēre,exercuī,exercitum,II,,
experior,experīrī,expertus sum,,IV,Deponent,
fābulor,fabulārī,fābulātus sum,,I,Deponent,
faciō,facere,fēcī,factum,III-i,,
fallō,fallere,fefellī,falsum,III,,
fateor,fatērī,fassus sum,,II,Deponent,
faveō,favēre,fāvī,fautum,II,,
ferō,ferre,tūlī,lātum,Irregular,,
fīdō,fidere,fīsus sum,,III,Semi-Deponent,
fīniō,fīnīre,fīnīvī,fīnītum,IV,,
fiō,fiērī,factus sum,,Irregular,Semi-Deponent,
for,fārī,fātus sum,,I,Deponent,
formō,formāre,formāvī,formātum,I,,
frangō,frangere,frēgī,frāctum,III,,
fugiō,fugere,fūgī,fūgitum,III-i,,
fungor,fungī,fūnctus sum,,III,Deponent,
fūror,fūrārī,fūrātus sum,,I,Deponent,
gaudeō,gaudēre,gāvīsus sum,,II,Semi-Deponent,
gerō,gerere,gessī,gestum,III,,
gradior,gradī,grassus sum,,III-i,Deponent,
gregō,gregāre,gregāvī,gregātum,I,,
habeō,habēre,habuī,habitum,II,,
habitō,habitāre,habitāvī,habitātum,I,,
horreō,horrēre,horruī,horritum,II,,
hortor,hortārī,hortātus sum,,I,Deponent,
iaceō,iacēre,iacuī,iacitum,II,,
iaciō,iacere,iēcī,iactum,III-i,,
īgniō,īgnīre,īgnīvī,īgnītum,IV,,
impediō,impedīre,impedīvī,impedītum,IV,,
imperō,imperāre,imperāvī,imperātum,I,,
incipiō,incipere,incēpī,inceptum,III-i,,
indicō,indicāre,indicāvī,indicātum,I,,
instruō,instruere,instrūxī,instrūctum,III,,
intellegō,intellegere,intellēxī,intellēctum,III,,
interficiō,interficere,interfēcī,interfectum,III-i,,
intersum,interesse,interfuī,interfutūrus,Irregular,,
inveniō,invenīre,invēnī,inventum,IV,,
īrāscor,īrāscī,īrātus sum,,III,Deponent,
iubeō,iubēre,iussī,iussum,II,,
iūdicō,iūdicāre,iūdicāvī,iūdicātum,I,,
iungō,iungere,iūnxī,iūnctum,III,,
iūrō,iūrāre,iūrāvī,iūrātum,I,,
iuvō,iuvāre,iūvī,iūtum,I,,
lābor,lābī,lāpsus sum,,III,Deponent,
lābōrō,lābōrāre,lābōrāvī,lābōrātum,I,,
largior,largīrī,largītus sum,,IV,Deponent,
laudō,laudāre,laudāvī,laudātum,I,,
lavō,lavāre,lāvī,lautum,I,,
legō,legere,lēgī,lēctum,III,,
levō,levāre,levāvī,levātum,I,,
līberō,līberāre,līberāvī,līberātum,I,,
liceor,licērī,licitus sum,,II,Deponent,
licet,licēre,licuit,,II,,
liquor,liquī,,,III,Deponent,
lītigō,lītigāre,lītigāvī,lītigātum,I,,
locō,locāre,locāvī,locātum,I,,
loquor,loquī,locūtus sum,,III,Deponent,
luceō,lucēre,lūxī,,II,,
lūdō,lūdere,lūsī,lūsum,III,,
maneō,manēre,mānsī,mānsum,II,,
mentior,mentīrī,mentītus sum,,IV,Deponent,
mercor,mercārī,mercātus sum,,I,Deponent,
mereor,merērī,meritus sum,,II,Deponent,
mētior,mētīrī,mēnsus sum,,IV,Deponent,
minor,minārī,minātus sum,,I,Deponent,
misereor,miserērī,misertus sum,,II,Deponent,
mittō,mittere,mīsī,missum,III,,
moneō,monēre,monuī,monitum,II,,
mōnstrō,mōnstrāre,mōnstrāvī,mōnstrātum,I,,
mordeō,mordēre,momordī,morsum,II,,
morior,morī,mortuus sum,,III,Deponent,
moveō,movēre,mōvī,mōtum,II,,
mūniō,mūnīre,mūnīvī,mūnītum,IV,,
mūtō,mūtāre,mūtāvī,mūtātum,I,,
narro,narrāre,narrāvī,narrātum,I,,
nascor,nascī,nātus sum,,III,Deponent,
natō,natāre,natāvī,natātum,I,,
nāvigō,nāvigāre,nāvigāvī,nāvigātum,I,,
nēcō,nēcāre,nēcāvī,nēcātum,I,,
negō,negāre,negāvī,negātum,I,,
negōtior,negōtiārī,negōtiātus sum,,I,Deponent,
ningit,ningere,ninxit,,III,,
noceō,nocēre,nocuī,nocitum,II,,
nōlō,nōlle,nōluī,,Irregular,,
nōminō,nōmināre,nōmināvī,nōminātum,I,,
nōscō,nōscere,nōvī,nōtum,III,,
novō,novāre,novāvī,novātum,I,,
numerō,numerāre,numerāvī,numerātum,I,,
nūntiō,nūntiāre,nūntiāvī,nūntiātum,I,,
oblīvīscor,oblīvīscī,oblītus sum,,III,Deponent,
obscūrō,obscūrāre,obscūrāvī,obscūrātum,I,,
occidō,occidere,occidī,occāsum,III,,
occīdō,occīdere,occīdī,occīsum,III,,
occupō,occupāre,occupāvī,occupātum,I,,
oportet,oportēre,oportuit,,II,,
oppugnō,oppugnāre,oppugnāvī,oppugnātum,I,,
ōrdinō,ōrdināre,ōrdināvī,ōrdinātum,I,,
orior,orīrī,ortus sum,,IV,Deponent,
ōrō,ōrāre,ōrāvī,ōrātum,I,,
ōsculor,ōsculārī,ōsculātus sum,,I,Deponent,
ostendō,ostendere,ostendī,ostentum,III,,
ōtior,ōtiārī,ōtiātus sum,,IV,Deponent,
pāreō,pārēre,pāruī,pāritum,II,,
partior,partīrī,partītus sum,,IV,Deponent,
patior,patī,passus sum,,III,Deponent,
pellō,pellere,pepulī,pulsum,III,,
pereō,perīre,perīvī,perītum,Irregular,,
perficiō,perficere,perfēcī,perfectum,III-i,,
persuādeō,persuādēre,persuāsī,persuāsum,II,,
petō,petere,petīvī,petītum,III,,
pleō,plēre,plēvī,plētum,II,,
pluit,pluere,plūvit,,III,,
polliceor,pollicērī,pollicitus sum,,II,Deponent,
pōnō,pōnere,pōsuī,pōsitum,III,,
portō,portāre,portāvī,portātum,I,,
possum,posse,potuī,,Irregular,,
potior,potīrī,potītus sum,,IV,Deponent,
potō,potāre,potāvī,potātum,I,,
precor,precārī,precātus sum,,I,Deponent,
prohibeō,prohibēre,prohibuī,prohibitum,II,,
prōmittō,prōmittere,prōmīsī,prōmissum,III,,
properō,properāre,properāvī,properātum,I,,
proscrībō,prōscrībere,prōscrīpsī,prōscrīptum,III,,
pugnō,pugnāre,pugnāvī,pugnātum,I,,
pūniō,pūnīre,pūnīvī,pūnītum,IV,,
putō,putāre,putāvī,putātum,I,,
quaerō,quaerere,quaesīvī,quaestum,III,,
quatiō,quatere,quassus sum,,III,Semi-Deponent,
queror,querī,questus sum,,III,Deponent,
quiescō,quiescere,quiēvī,quiētum,III,,
rabiō,rabere,rabuī,,III-i,,
rapiō,rapere,rapuī,raptum,III-i,,
rēgō,rēgere,rēxī,rēctum,III,,
renovō,renovāre,renovāvī,renovātum,I,,
reor,rērī,ratus sum,,II,Deponent,
respondeō,respondēre,respondī,respōnsum,II,,
rideō,ridēre,rīsī,rīsum,II,,
rogō,rogāre,rogāvī,rogātum,I,,
saltō,saltāre,saltāvī,saltātum,I,,
salūtō,salūtāre,salūtāvī,salūtātum,I,,
sapiō,sapere,sapuī,,III-i,,
sarciō,sarcīre,sarsī,sartum,IV,,
scandō,scandere,scandī,scansum,III,,
scindō,scindere,scīdī,scissum,III,,
scrībō,scrībere,scrīpsī,scrīptum,III,,
secō,secāre,sēcāvī,sectum,I,,
sedeō,sedēre,sēdī,sessum,II,,
sentiō,sentīre,sēnsī,sēnsum,IV,,
sequor,sequī,secūtus sum,,III,Deponent,
serō,serere,sēvī,satum,III,,
serviō,servīre,servīvī,servītum,IV,,
servō,servāre,servāvī,servātum,I,,
soleō,solēre,soluī,solitum,II,,
solvō,solvere,solvī,solūtum,III,,
sortior,sortīrī,sortītus sum,,IV,Deponent,
spargō,spargere,sparsī,sparsum,III,,
spectō,spectāre,spectāvī,spectātum,I,,
spērō,spērāre,spērāvī,spērātum,I,,
spīrō,spīrāre,spīrāvī,spīrātum,I,,
statuō,statuere,statuī,statūtum,III,,
sternuō,sternuere,sternuī,,III,,
stō,stāre,stetī,stātum,I,,
struō,struere,strūxī,strūctum,III,,
studeō,studēre,studuī,,II,,
suādeō,suādēre,suāsī,suāsum,II,,
sum,esse,fuī,futūrus,Irregular,,
superō,superāre,superāvī,superātum,I,,
supplicō,supplicāre,supplicāvī,supplicātum,I,,
suscipiō,suscipere,suscēpī,susceptum,III-i,,
taceō,tacēre,tacuī,tacitum,II,,
tangō,tangere,tetigī,tactum,III,,
temptō,temptāre,temptāvī,temptātum,I,,
teneō,tenēre,tenuī,tentum,II,,
terreō,terrēre,terruī,territum,II,,
testor,testārī,testātus sum,,I,Deponent,
timeō,timēre,timuī,,II,,
tondeō,tondēre,totondī,tōnsum,II,,
tonō,tonāre,tonuī,tonitum,I,,
torqueō,torquēre,tōrsī,tortum,II,,
trādō,trādere,trādidī,trāditum,III,,
trahō,trahere,trāxī,trāctum,III,,
tueor,tuērī,tūtus sum,,II,Deponent,
tussiō,tussīre,,,IV,,
ulcīscor,ulcīscī,ultus sum,,III,Deponent,
ūtor,ūtī,ūsus sum,,III,Deponent,
vagor,vagārī,vagātus sum,,I,Deponent,
valeō,valēre,valuī,valitum,II,,
vastō,vastāre,vastāvī,vastātum,I,,
vehō,vehere,vexī,vectum,III,,
veniō,venīre,vēnī,ventum,IV,,
vereor,verērī,veritus sum,,II,Deponent,
vertō,vertere,vertī,versum,III,,
vēscor,vēscī,,,III,Deponent,
vetō,vetāre,vetuī,vetitum,I,,
videō,vidēre,vīdī,vīsum,II,,
videor,vidērī,vīsus sum,,II,Deponent,
vinciō,vincīre,vīnxī,vinctum,IV,,
vincō,vincere,vīcī,victum,III,,
violō,violāre,violāvī,violātum,I,,
vīvō,vīvere,vīxī,vīctum,III,,
vocō,vocāre,vocāvī,vocātum,I,,
volō,volāre,volāvī,volātum,I,,
volō,velle,voluī,,Irregular,,
volvō,volvere,volvī,volūtum,III,,
vulnerō,vulnerāre,vulnerāvī,vulnerātum,I,,
